Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,12pf,C_0402_1005Metric,131.8895,-78.74,0,top
C2,100nf,C_0402_1005Metric,149.4282,-71.0946,180,top
C3,12pf,C_0402_1005Metric,133.4135,-84.3915,180,top
C4,2.2uf Low ESR,C_0603_1608Metric,152.781,-91.694,0,top
C5,2.2uf Low ESR,C_0603_1608Metric,156.21,-77.724,0,top
C6,100nf,C_0402_1005Metric,135.8392,-77.47,270,top
C7,10uf,C_0805_2012Metric,139.573,-92.9132,180,top
C8,100nf,C_0402_1005Metric,153.3652,-89.7636,0,top
C9,100nf,C_0402_1005Metric,135.8392,-79.6036,90,top
C10,100nf,C_0402_1005Metric,155.3972,-75.0316,90,top
C11,100nf,C_0402_1005Metric,135.128,-87.6046,270,top
C12,100nf,C_0402_1005Metric,138.1252,-73.6092,180,top
C13,100nf,C_0402_1005Metric,140.3096,-91.2876,180,top
C14,10nf,C_0402_1005Metric,136.2202,-87.6046,270,top
C15,100nf,C_0402_1005Metric,136.3218,-85.0392,270,top
C16,100nf,C_0402_1005Metric,170.5102,-82.2198,180,top
C17,100nf,C_0402_1005Metric,172.3644,-88.6206,180,top
C18,100nf,C_0402_1005Metric,178.308,-85.5345,0,top
C19,100nf,C_0402_1005Metric,116.7638,-76.962,180,top
C20,10uf,C_0805_2012Metric,115.951,-78.5495,180,top
C21,100nf,C_0402_1005Metric,124.5108,-79.8195,270,top
C22,10uf,C_0805_2012Metric,122.7328,-80.4672,270,top
C23,100nf,C_0402_1005Metric,120.65,-79.6925,270,top
C24,10uf,C_0805_2012Metric,118.999,-80.4545,270,top
C25,100nf,C_0402_1005Metric,126.5428,-71.5772,0,top
C26,10uf,C_0805_2012Metric,127.3048,-73.3552,0,top
C27,10uf,C_0805_2012Metric,116.1288,-71.5772,180,top
C28,100nf,C_0402_1005Metric,116.8908,-73.3552,180,top
C29,10uf,C_0805_2012Metric,146.8882,-98.171,270,top
C30,10uf,C_0805_2012Metric,159.5882,-99.3902,270,top
C31,100n,C_0402_1005Metric,178.1175,-80.5815,270,top
C32,100n,C_0402_1005Metric,178.689,-77.4192,270,top
C33,100n,C_0402_1005Metric,178.6382,-73.8378,90,top
FB1,Ferrite_Bead_Small,L_0805_2012Metric,133.5786,-88.3666,270,top
FB2,Ferrite_Bead_Small,L_0805_2012Metric,144.4625,-98.171,270,top
R1,10k,R_0402_1005Metric,145.923,-68.707,0,top
R2,10k,R_0402_1005Metric,145.923,-65.913,0,top
R3,220,R_0402_1005Metric,135.7884,-81.9404,180,top
R4,4.7k,R_0402_1005Metric,125.5268,-79.8195,270,top
R5,4.7k,R_0805_2012Metric,133.2738,-70.358,90,top
R6,4.7k,R_0805_2012Metric,135.7884,-70.358,90,top
U1,STM32F407VETx,LQFP-100_14x14mm_P0.5mm,145.796,-81.788,270,top
U2,Si5351A-B-GT,MSOP-10_3x3mm_P0.5mm,175.3362,-86.3854,90,top
U3,74HC04,SOIC-14_3.9x8.7mm_P1.27mm,173.3042,-76.9874,90,top
U4,TLV320AIC3204IRHBR,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,121.4628,-74.8792,90,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,153.2382,-97.8662,180,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,132.6515,-81.5975,270,top
Y2,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,175.5648,-91.9226,0,top
