Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C3, ",2,12pf,402,C1547
"C2, C6, C8, C9, C10, C11, C12, C13, C15, C16, C17, C18, C19, C21, C23, C25, C28, ",17,100nf,402,C1525
"C4, C5, ",2,2.2uf Low ESR,603,C23630
"C7, C20, C22, C24, C26, C27, C29, C30, ",8,10uf,805,C15850
"C14, ",1,10nf,402,C15195
"C31, C32, C33, ",3,100n,402,C1525
"FB1, FB2, ",2,Ferrite_Bead_Small,805,C1015
"R1, R2, ",2,10k,402,C25744
"R3, ",1,220,402,C25091
"R4, ",1,4.7k,402,C25900
"R5, R6, ",2,4.7k,805,C17673
"U1, ",1,STM32F407VETx,Package_QFP:LQFP-100_14x14mm_P0.5mm,C28730
"U3, ",1,74HC04,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C5590
"U4, ",1,TLV320AIC3204IRHBR,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C24109
"U5, ",1,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
"Y1, ",1,16MHz,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
"Y2, ",1,Crystal_GND24,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C136079
